href,politicalParty,nameGiven,nameFamily,nameFull,title,terms,address,phone,website,twitterHandle,nameMiddle
http://www.naag.org/naag/attorneys-general/whos-my-ag/alabama/luther-strange.php,R,Luther,Strange,Luther Strange,Alabama,"Elected: 2010, 2014","501 Washington Ave.  P.O. Box 300152 Montgomery, AL 36130-0152",(334) 242-7300,http://www.ago.state.al.us/,"Luther Strange was elected Alabama's 49th attorney general on Nov. 2, 2010. As attorney general,Strange is charged with representing and defending the interests of the people
of the state of Alabama and serves as the state's chief law enforcement officer.

Prior to his election as attorney general, Strange was an attorney and founder of Strange LLC, a law firm based in Birmingham. Prior to founding Strange LLC, he was a partner with the law firm of Bradley Arant Boult Cummings LLP. During his time
in private practice, Strange was regarded as one of Alabama's leading economic
development lawyers and frequently advised companies on growth and expansion
opportunities in the state. Strange has been recognized in Best Lawyers in
America, named Best of the Bar by the Birmingham Business Journal, and
recognized as one of the "Best Lawyers" in Alabama by Birmingham
Magazine. Strange LLC was named one of the Top Ten Law Firms that Understand
Economic Development by Southern Business & Development Magazine and received
a first tier ranking in the 2010 U.S. News – Best Lawyers ""Best Law
Firms"" Rankings.

Strange received both his undergraduate and law degrees from Tulane University. While a
student at Tulane, Strange was a scholarship basketball player. Active in his
church and community, Strange is an Eagle Scout and Rotarian and serves on the
Advisory Board of the U.S. Merchant Marine Academy in Kings Point, New York.
Committed to passing on the lessons he learned growing up in Alabama, Strange
is passionate about encouraging young people in Alabama to become involved in
public service and the political process.

Strange and his wife Melissa are the proud parents of two sons.",
http://www.naag.org/naag/attorneys-general/whos-my-ag/alaska/craig-w.-richards.php,,Craig,Richards,Craig W. Richards,Alaska,Appointed: December 2014,"P.O. Box 110300 Juneau, AK 99811-0300",(907) 465-2133,http://www.law.state.ak.us/,"Alaska Attorney General Craig Richards was appointed by Governor Bill Walker on Dec. 1, 2014 and confirmed by the Alaska State Legislature on April 19, 2015. Mr. Richards brings a wealth of experience in complex matters relating to oil and gas, finance, tax, and municipal law. He has a proven record of integrating legal and financial analytical skills in project development, litigation, and negotiations. 

Prior to his appointment, Mr. Richards was a named attorney in the Anchorage law firm Walker & Richards, LLC, where he practiced for over 10 years. Mr. Richards joined the firm in 2003 and specialized in oil and gas project development and tax matters, including extensive work on a proposed natural gas pipeline from the North Slope to tidewater.

Mr. Richards managed the oil and gas litigation team at the practice and coordinated legal and financial strategies with clients. He led the negotiations on numerous multi-million dollar settlements, acquisitions, and contracts during his tenure with the firm. 

In addition to majoring in finance at the University of Virginia, Mr. Richards holds a master’s degree in business administration from Duke University and a juris doctorate from Washington & Lee University School of Law. After law school he clerked for the Honorable Ralph R. Beistline in his hometown of Fairbanks, Alaska. He then moved to Anchorage, practicing at Wohlforth, Vassar, Johnson & Brecht PC, before transitioning to Walker & Richards, LLC.

Raised in Fairbanks, Alaska, Mr. Richards now resides in Anchorage with his wife, Alyson. They are the proud parents of an active two-year old.",W.
http://www.naag.org/naag/attorneys-general/whos-my-ag/american-samoa/talauega-eleasalo-v.-ale.php,,Talauega,Ale,Talauega Eleasalo V. Ale,American Samoa,Appointed: January 2014,"American Samoa Gov't, Exec. Ofc. Bldg, Utulei, Territory of American Samoa, Pago Pago, AS 96799",(684) 633-4163,http://americansamoa.gov/index.php/2012-04-25-19-44-32/2012-04-25-19-52-04/departments/legal-affairs,"Attorney General Ale, who earned his law degree from Drake University in 1994, joined the Attorney General's Office in August 2012, and later became the deputy attorney general overseeing the Civil Division. As the new attorney general, Ale also heads the Department of Legal Affairs, which includes the Immigration Office.",Eleasalo V.
http://www.naag.org/naag/attorneys-general/whos-my-ag/arizona/mark-bronvich.php,R,Mark,Brnovich,Mark Brnovich,Arizona,Elected: 2014,"1275 W. Washington St., Phoenix, AZ 85007",(602) 542-4266,http://www.azag.gov/,"Pronounced, “Burn-O-Vich”, Mark is the son of an immigrant mother who legally emigrated from the former Yugoslavia in the 1950s to escape the horrors of communism.

The family moved to Arizona in the 1960s from Detroit, Mich. and Mark grew up in Phoenix and attended public schools from first grade through high school. Mark went on to graduate from Arizona State University (BS, political science, cum laude). Like many Arizonans, he was drawn to San Diego, where he graduated from law school (University of San Diego 1991) but returned to his roots in Arizona after graduation.

Mark met his wife Susan while they both worked as prosecutors for the Maricopa County Attorney’s Office. Mark worked in the Gang/Repeat Offender Unit and prosecuted many difficult and high profile cases from 1992 to 1998. Always interested in new challenges, he went on to work at the Arizona Attorney General’s Office (1998-2003) and represented the Arizona Department of Gaming, where he developed an expertise in gambling law.

Mark previously served as the director of the Goldwater Institute’s Center for Constitutional Government, and authored numerous studies, articles, and briefs advocating for free markets and individual liberty. He also briefly served as a Senior Director for the Corrections Corporation of America before returning to his roots as a prosecutor and public servant. Mark has served as an Assistant United States Attorney where he prosecuted public integrity crimes, as well as, crimes occurring in Indian Country.

He left the U.S. Attorney’s Office to serve the people of Arizona as the director of the Arizona Department of Gaming, a law enforcement agency that investigates illegal gambling activity and coordinates efforts with tribal regulators to ensure the integrity of tribal gaming. During his four-year tenure, the Department seized hundreds of illegal gambling devices for the first time in the agency’s history, led investigations, and assisted in the prosecution of illegal gambling operations. The Department also streamlined the vendor certification process and proactively worked with tribal gaming operations to reduce the number of compact violations during every year of his tenure. 

Mark and Susan have two children, who attend charter schools in Phoenix. They have two dogs and enjoy hiking, dinner with friends and family, as well as, various sporting activities. Mark is also a huge Grateful Dead fan.

Mark was sworn into office as Arizona attorney general on January 5, 2015.",
http://www.naag.org/naag/attorneys-general/whos-my-ag/arkansas/leslie-rutledge.php,R,Leslie,Rutledge,Leslie Rutledge,Arkansas,Elected: 2014,"323 Center St., Suite 200, Little Rock, AR 72201-2610",(800) 482-8982,http://www.ag.arkansas.gov/,"Leslie Rutledge is an Arkansas lawyer who has spent her entire career in public service.  A former prosecutor, her law practice focuses on Administrative Law, State and Local Government, and Election Law.

A seventh generation Arkansan, Rutledge grew up on a cattle farm and attended public school at the Southside School District in Independence County. After graduating from the University of Arkansas at Fayetteville, she proceeded to the University of Arkansas, Little Rock (UALR) Bowen School of Law.  Rutledge is admitted to practice law in Arkansas, Washington D.C., and before the Supreme Court of the United States.

Rutledge began work in the Arkansas Court of Appeals clerking for Judge Josephine Hart, now associate justice on the Arkansas Supreme Court.  Rutledge was selected to serve as deputy counsel to the Office of Governor Mike Huckabee working with and advising Arkansas state agencies.  She served as deputy prosecuting attorney in Lonoke County handling felony cases and in subsequent service as attorney for the State of Arkansas' Division of Children and Family Services.

During her time in Washington, D.C., Rutledge served as deputy counsel for the “Huckabee for President” campaign, deputy counsel at the National Republican Congressional Committee and ultimately as counsel for the Republican National Committee including the most recent presidential campaign cycle.

Her service extends to leadership in numerous community organizations including the Junior League, Alpha Delta Pi Alumni, the National Rifle Association and Women in Networking in Central Arkansas. Rutledge is a member of the Arkansas Bar Association, the UALR Bowen School of Law Alumni Board, the Federalist Society and the Republican National Lawyers Association.  Leslie attends the Church at Rock Creek and resides in Little Rock.",
http://www.naag.org/naag/attorneys-general/whos-my-ag/california/kamala-harris.php,D,Kamala,Harris,Kamala D. Harris,California,"Elected: 2010, 2014","1300 I St., Ste. 1740, Sacramento, CA 95814",(916) 445-9555,http://ag.ca.gov/,"On January 3, 2011, Kamala D. Harris was sworn in as California’s 32nd attorney general.

In representing the interests of the people of California, Attorney General Harris is committed to fighting transnational gang crime, protecting consumers from mortgage fraud and other scams, and preserving the state’s natural resources.

As chief law enforcement officer for the state, Harris is also committed to reducing recidivism and reforming the state’s revolving door prison system.

Harris is the first woman, and the first African American and South Asian American, to hold the office of attorney general in the history of California.

Born and raised in the East Bay, Harris is a daughter of Dr. Shyamala Harris, a breast cancer specialist who traveled to the United States from India to pursue her graduate studies at University of California Berkeley. After attending public schools, Attorney General Harris strong commitment to justice and public service led her to Howard University, America’s oldest historically black university.

Attorney General Harris has spent her entire professional life in the trenches as a courtroom prosecutor. After graduating from University of California, Hastings College of the Law, she took a position in the Alameda County District Attorney’s Office, where she specialized in prosecuting child sexual assault cases. As a Deputy District Attorney (1990-1998) she prosecuted homicide and robbery cases. She joined the San Francisco District Attorney’s Office as head of the Career Criminal Unit, and later headed up the San Francisco City Attorney’s Division on Families and Children.

Harris served two terms as District Attorney in San Francisco. First elected in 2003, she was overwhelmingly reelected to a second term in November 2007. As District Attorney, she expanded services to victims of crime and their families, created new prosecution divisions focused on child assault, public integrity and environmental crimes, and launched innovative recidivism reduction initiatives to prevent re-offending.

During her tenure, the San Francisco District Attorney Office’s overall felony conviction rate was at its highest point in 15 years. Under her leadership, the office doubled the number of serious and violent offenders sent to state prison, put more than 220 gang members behind bars, and convicted more than 1,200 domestic violence offenders.

To combat one of San Francisco’s biggest challenges, gun violence, she created a gun specialist team and implemented tough gun charging policies. The District Attorney’s office more than doubled its trial conviction rate for gun felonies to 90 percent.

Attorney General Harris is the recipient of numerous awards. The Daily Journal, California’s largest legal newspaper, designated Harris one of the top 100 lawyers in the state. She is also the only elected official to be named one of California’s top 75 women litigators by the paper. Harris was recognized as a “Woman of Power” by the National Urban League and received the Thurgood Marshall Award from the National Black Prosecutors Association.

She has been featured on “The Oprah Winfrey Show” and in Newsweek magazine as one of “America’s 20 Most Powerful Women.” She was one of two dozen elected leaders from across the country selected to serve as a Rodel Fellow with the Aspen Institute. Harris was also elected to the Board of Directors of the California District Attorneys Association and is a Vice President of the National District Attorney’s Association.

Attorney General Harris is the author of Smart on Crime: A Career Prosecutor’s Plan to Make Us Safer (Chronicle Books, 2009).",D.
http://www.naag.org/naag/attorneys-general/whos-my-ag/colorado/cynthia-coffman.php,R,Cynthia,Coffman,Cynthia Coffman,Colorado ,Elected: 2014,"Ralph L. Carr Colorado Judicial Center 1300 Broadway, 10th Floor, Denver, CO 80203",(720) 508-6000,http://www.coloradoattorneygeneral.gov/,"Colorado Attorney General Cynthia Coffman is a dedicated public servant, attorney and leader.  In November 2014, she won statewide election and on Jan. 13, 2015, was sworn in as Colorado’s 38th attorney general. Prior to being elected, Ms. Coffman was appointed in 2005 to serve as chief deputy of the Office proudly filling the role of chief of staff and chief operating officer for the largest public law firm in the state.

In 2004, Attorney General Coffman had the honor of serving then Colorado Governor, Bill Owens as his chief legal counsel in the state Capitol. She has also served as the director of Legal & regulatory affairs and later deputy executive director for the Colorado Department of Public Health and Environment where she gained extensive experience with environmental issues related to air and water quality, hazardous waste regulation, and environmental health in addition to working on statewide bioterrorism and emergency planning efforts, disease control and prevention, maternal and child health programs and hospital and health facility regulation. 

Her first job in Denver was working for the Colorado General Assembly’s Office of Legislative Council. Ms. Coffman staffed the Senate Judiciary Committee and assisted with a study of the state’s adult parole system. Her legal career began 24 years ago in the Georgia Attorney General’s Office. As a courtroom attorney, she defended that state’s juvenile justice system and public health department. A few years later, she worked as a lawyer for the 1996 Centennial Olympic Games in Atlanta.  Following her initial assignment in Finance & Management Services, Ms. Coffman went on to work in risk management during the Games. On July 27, 1996, a domestic terrorist detonated pipe bombs in Olympic Park during a celebratory concert. One innocent spectator was killed and scores more badly injured. Attorney General Coffman acted as the primary liaison with the victims and their families demonstrating her compassion and resolve to fight for justice.  In 1997, on a post-Olympics visit to the Rocky Mountains, she decided to pursue her dream of moving to Colorado and has been a proud and happy resident of the Centennial State for the last eighteen years.

She currently is a member of the Colorado Supreme Court Chief Justice Commission on the Legal Profession. In September 2012, Law Week Colorado recognized her accomplishments by naming her as the Best Public Sector Lawyer.

A native Missourian, she graduated from the University of Missouri-Columbia. She worked in development for children’s hospitals and pediatric research for several years before completing law school at Georgia State University in Atlanta.",
http://www.naag.org/naag/attorneys-general/whos-my-ag/connecticut/george-jepsen.php,D,George,Jepsen,George Jepsen,Connecticut,"Elected: 2010, 2014","55 Elm St., Hartford, CT 06106",(860) 808-5318,http://www.ct.gov/ag/,"George Jepsen is the 24th attorney general to serve Connecticut since the
office was established in 1897. He took office on Jan. 5, 2011. The attorney general
is a constitutional officer, the state’s chief legal officer and serves as
legal counsel to all state agencies. Under state statutes and the Connecticut
Constitution, the attorney general has authority over all civil matters and is
responsible for representing the people of Connecticut and the broader public
interest.

With a legal staff of more than 200 attorneys, the attorney general works
to represent and vigorously advocate for the interests of the state and its
citizens, to ensure that state government acts within the letter and spirit of
the law, to protect public resources for present and future generations, to
preserve and enhance the quality of life of all our citizens, and to ensure
that the rights of the most vulnerable citizens are safeguarded. The Office
generated $477 million for the fiscal year ended June 30, 2011.

Attorney General Jepsen is a member of the National Association of
Attorneys General, where he serves as co-chairman of the Antitrust Committee.
He was also a member of the executive committee and negotiating team that
resulted in a $25 billion settlement with the nation’s five largest banks over
mortgage foreclosure abuses. It was the largest joint federal-state settlement
in history. As attorney general, Jepsen created a data privacy task force to
focus on data breach and privacy concerns. He has also focused on utility
issues.

Before taking office, Jepsen was a practicing lawyer for more than 26
years, most recently at the Hartford law firm of Cowdery, Ecker and Murphy,
LCC, in the areas of corporate transactions and civil and appellate litigation.
Jepsen began his legal career as general counsel to Carpenters Local 210 in
Norwalk.

Jepsen was born in Hattiesburg, Miss., on Nov. 23, 1954, the second of
Chuck and Rita Jepsen’s three children. In 1955, the family moved to Greenwich,
Conn., where Jepsen attended public schools. He graduated summa cum laude, Phi
Beta Kappa in 1976 from Dartmouth College with a Bachelor of Arts degree in government
with high distinction. In 1982, Jepsen earned his Juris Doctorate degree, cum
laude, from Harvard Law School and simultaneously earned a master’s degree in public
policy from the John F. Kennedy School of Government, where he was a teaching
fellow for Richard Neustadt and for former Watergate prosecutor Archibald Cox.

In 1987, Jepsen was elected to represent Stamford’s 148th State House
District. From his election in 1990 through 2003, Jepsen represented the 27th
State Senatorial District, serving Stamford and Darien. As a state senator,
Jepsen was chairman of the Judiciary Committee (1993-1995) and ranking member
of the Finance Committee (1995-1997). He served as Senate Majority Leader from
1997-2003. In 2002, Jepsen was the Democratic nominee for lieutenant governor.
He served as Democratic State Party chairman from 2003-2005.

 

Jepsen, a resident of West Hartford, Conn., is married to Diana Sousa.
They have two sons, Christian, and William.",
